Calyear;Population
2002;8063640
2003;8100273
2004;8142573
2005;8201359
2006;8254298
2007;8282984
2008;8307989
2009;8335003
2010;8351643
2011;8375164
2012;8408121
2013;8451860
2014;8507786
2015;8584926
2016;8700471
2017;8772865
2018;8822267
2019;8858775
2020;8901064
2021;8932664
